full_name,id,position,photo_url
Derrick Favors,ad354ebb-88e5-46e4-ad79-f7188ee1f6c2,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ad354ebb-88e5-46e4-ad79-f7188ee1f6c2/300x300-crop.png
Cristiano Felicio,3f64e9a6-6e1e-499b-aec8-764c99f634b2,F-C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/3f64e9a6-6e1e-499b-aec8-764c99f634b2/300x300-crop.png
Terrance Ferguson,c68679e2-2631-43b4-96b2-4287d6a0c45d,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/c68679e2-2631-43b4-96b2-4287d6a0c45d/300x300-crop.png
Bruno Fernando,2ef47392-9f85-47e7-a844-b5d97cf412c9,F-C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/2ef47392-9f85-47e7-a844-b5d97cf412c9/300x300-crop.png
Yogi Ferrell,8834061f-7541-4ed3-9802-cc60c4435add,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/8834061f-7541-4ed3-9802-cc60c4435add/300x300-crop.png
L.J. Figueroa,d5828a39-cab6-4197-88e9-75094726636f,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d5828a39-cab6-4197-88e9-75094726636f/300x300-crop.png
Dorian Finney-Smith,426357dc-340b-4d89-8e3b-7d6b4022b460,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/426357dc-340b-4d89-8e3b-7d6b4022b460/300x300-crop.png
Malik Fitts,a389d2ef-29f9-4600-ba48-6cc6315b2b30,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/a389d2ef-29f9-4600-ba48-6cc6315b2b30/300x300-crop.png
Adam Flagler,6a45cd75-c6ef-42ac-9a67-dd0fdb21ade7,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6a45cd75-c6ef-42ac-9a67-dd0fdb21ade7/300x300-crop.png
Malachi Flynn,22973df1-49a2-4506-bfce-3368737981f8,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/22973df1-49a2-4506-bfce-3368737981f8/300x300-crop.png
