minutes,points,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,flagrant_fouls,blocked_att,field_goals_made,field_goals_att,three_points_made,three_points_att,free_throws_made,free_throws_att,two_points_made,two_points_att,efficiency,true_shooting_att,points_off_turnovers,points_in_paint_made,points_in_paint_att,points_in_paint,fouls_drawn,offensive_fouls,fast_break_pts,fast_break_att,fast_break_made,second_chance_pts,second_chance_att,second_chance_made,player_id
8.05,3.05,0.5800000000000001,0.99,1.575,0.44999999999999996,0.06,0.165,0.225,1.03,0.0,0.085,1.1,1.82,0.17,0.41000000000000003,0.6799999999999999,0.905,0.9349999999999999,1.4100000000000001,4.145,2.215,0.55,0.905,1.375,1.8199999999999998,0.685,0.015,0.255,0.155,0.11,0.8200000000000001,0.48,0.32,7aa10d1a-ed4e-417d-998d-84ce66c77c9b
31.25,15.15,2.105,3.9250000000000003,6.029999999999999,2.65,0.6950000000000001,0.725,1.52,1.915,0.005,0.865,5.82,10.76,0.9550000000000001,2.77,2.5700000000000003,3.875,4.865,7.99,17.48,12.465,2.315,4.525,6.855,9.055,3.23,0.33499999999999996,2.105,1.205,0.8300000000000001,1.955,1.55,0.8500000000000001,20f85838-0bd5-4c1f-ab85-a308bafaf5bc
9.9,4.4,0.17,1.11,1.29,0.6,0.17,0.0,0.26,0.89,0.0,0.03,1.51,3.57,1.26,3.0,0.11,0.11,0.26,0.57,4.17,3.62,0.31,0.14,0.26,0.29,0.11,0.0,0.34,0.29,0.11,0.77,0.49,0.26,616c60bf-f7ce-482d-a9c8-10c6c7fbef97
19.5,8.9,0.51,1.61,2.13,1.0,0.58,0.17,0.58,1.21,0.0,0.31,3.44,7.4,1.4,3.6,0.58,0.65,2.04,3.81,8.15,7.69,0.97,1.61,2.85,3.22,0.56,0.01,0.93,0.69,0.38,1.06,0.88,0.43,dff43943-07d4-44b8-b349-b5a0c327ce54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a384680-197e-4fa7-9403-e7a1d8bff8a5
3.3,0.0,0.0,0.33,0.33,0.0,0.0,0.33,0.33,0.33,0.0,0.33,0.0,0.67,0.0,0.33,0.0,0.0,0.0,0.33,-0.33,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0b295571-ce3f-4436-aea7-b84e9cf7203a
15.100000000000001,5.15,0.265,1.125,1.38,1.6,0.575,0.22,0.7549999999999999,1.42,0.0,0.25,2.025,4.465,0.58,1.515,0.51,0.63,1.445,2.955,5.63,4.745,0.675,1.2349999999999999,2.38,2.465,0.91,0.055,0.51,0.4,0.225,0.41000000000000003,0.31,0.155,877eb456-2827-475f-b858-2bc00480e24f
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e30567e1-de22-401f-8cf2-770a46d8be9d
30.2,10.850000000000001,1.395,5.665,7.0600000000000005,3.45,0.63,1.245,0.8300000000000001,2.11,0.035,0.175,3.975,8.725,1.7999999999999998,4.82,1.1,1.315,2.18,3.9050000000000002,17.45,9.305,1.415,1.915,3.1799999999999997,3.825,1.2149999999999999,0.16,0.74,0.54,0.315,1.38,0.875,0.52,cf3a87ec-c2f7-42e8-9698-6f8b2ba916a9
17.25,3.1500000000000004,0.5449999999999999,2.23,2.77,3.15,0.605,0.5449999999999999,0.945,1.0999999999999999,0.0,0.03,1.235,2.94,0.33,1.8299999999999998,0.39,0.5449999999999999,0.905,1.1099999999999999,7.42,3.175,0.565,0.875,1.05,1.75,1.27,0.065,0.42,0.24,0.21,0.31,0.365,0.155,9fdcd102-1c82-4e32-b366-c93139352c75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8aaf1808-f7af-4894-9b14-cc7655005313
7.55,1.8,0.75,1.625,2.375,0.4,0.22,0.0,0.75,0.845,0.0,0.095,0.75,1.47,0.0,0.315,0.25,0.47,0.75,1.155,3.0300000000000002,1.6749999999999998,0.19,0.75,1.155,1.5,0.75,0.22,0.53,0.19,0.19,0.44,0.25,0.22,247fda9b-09e6-4949-8fe3-acfcb9ed0983
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95b5aa82-5f5f-469a-b0ca-d9188d225798
