player_id,full_name,first_name,position,primary_position
a208e22a-6b63-45f9-b7c6-bf913a68f3df,Steven Adams,Steven,C,C
10a4ebb7-7be4-4fda-b7c7-fd20a6e7a6c0,,,,
11c303dc-540c-4090-8e0c-76c2fb2c125a,Bam Adebayo,Bam,C-F,C
a7466782-6f87-414f-9458-7fea82922e00,Ochai Agbaji,Ochai,G,SG
266cd359-f378-45c6-957e-6e21378e5219,Santi Aldama,Santi,F-C,PF
3157a0b5-1b4c-46d1-934c-ac2df3810950,,,,
a3c2c996-2bc9-4fce-a960-3a43fd33e027,,,,
d3d0ab55-b939-47b3-af27-77cdf85d7956,Nickeil Alexander-Walker,Nickeil,G,SG
ffa9a64f-d624-4033-bd23-59dcfd805175,Grayson Allen,Grayson,G,SG
a3fff5c7-19b6-4dac-bd75-11b944bea505,Jarrett Allen,Jarrett,C,C
1681339e-29da-4cac-bf9c-770108073440,,,,
8d6caab5-3a9a-4994-bde0-9fe14032efd7,Jose Alvarado,Jose,G,PG
2e49c27a-06c5-4c4a-87fd-69840b783947,Kyle Anderson,Kyle,F-G,SF
0ffd6d00-1aa4-49e0-a85d-6a538417ff3b,,,,
64c0e4e5-8711-4b86-8072-745f6084df73,Thanasis Antetokounmpo,Thanasis,F,SF
6c60282d-165a-4cba-8e5a-4f2d9d4c5905,Giannis Antetokounmpo,Giannis,F,PF
d1b4d512-869c-497d-b40f-c0215051645b,,,,
b6ba1ad1-c57b-4215-8ded-5eeee7171017,Cole Anthony,Cole,G,PG
32688af1-7ac2-432e-b60a-74b9bd89df57,,,,
9474fa0a-70dd-44c4-9751-dac5839ae7f3,O.G. Anunoby,O.G.,F,SF
7c2dc4ed-5d14-4342-9fe7-18c66fdcb6ab,Ryan Arcidiacono,Ryan,G,PG
9392d5b6-3dbf-4375-8fdd-4dafaae6ede4,,,,
a18805c2-d746-4d4b-be83-5b96c3bdf6af,,,,
312f21c9-a061-43e2-9a22-65199131068e,Deni Avdija,Deni,F,SF
5361a30e-2e3e-43d5-8340-265330cd7ef1,,,,
7ca4beac-bbd6-454f-b820-4e8442a3e1e5,Deandre Ayton,Deandre,C,C
597ba5c7-0927-446b-9b4f-bf730a8f65f6,Udoka Azubuike,Udoka,C-F,C
11c303dc-540c-4090-8e0c-76c2fb2c125a,Bam Adebayo,Bam,C-F,C
ff461754-ad20-4eeb-af02-2b46cc980b24,Bradley Beal,Bradley,G,SG
8e3cbaa3-e30a-4cf8-aa7a-1b57f15f0f98,,,,
abceaea3-47b0-43fb-b9f7-75f378e2d409,Buddy Boeheim,Buddy,F,SF
b4282659-dd1a-4042-a075-7df4890858e7,Bogdan Bogdanovic,Bogdan,G,SG
7ff02e19-e829-4e56-9a34-233a71fce76c,Bojan Bogdanovic,Bojan,F,SF
6395ff32-c9b6-4ad0-8f0f-dce474274725,Bol Bol,Bol,C-F,PF
3ee94b27-a47b-4fae-bb71-ba68dacef351,Brandon Boston Jr.,Brandon,G,SG
9e448df5-971e-4427-a064-be791636b41a,,,,
fc058e75-1015-4bbe-8fab-925d5f6d83fb,Bruce Brown,Bruce,G-F,PG
c978afe7-cf22-45fc-8d0f-da8f867eb5ee,Brandon Clarke,Brandon,F,PF
27db7dbb-6aad-44df-a3f4-7e1c21c2f256,Bilal Coulibaly,Bilal,F-G,SF
2ef47392-9f85-47e7-a844-b5d97cf412c9,Bruno Fernando,Bruno,F-C,C
ca784446-05be-4f5e-8108-d7bb1736005a,,,,
ab6f22fc-0ad6-4323-a5fe-343e6f05e7e0,,,,
18358040-89d8-4e25-a6a6-9e209c26fb3a,,,,
2654cfd1-241f-4ebb-9b14-267f9168dbfe,,,,
795f46f2-c78d-4f1d-9ee2-4331c1cc8184,Buddy Hield,Buddy,G,SG
7ad01370-ae8e-40ae-b70d-61f6d8dba8d9,Bones Hyland,Bones,G,PG
8082841d-e516-43c6-a81b-7987fa321acd,Brandon Ingram,Brandon,F,SF
c27a4770-03ef-4a91-9022-45fc0fb6a730,,,,
c22cf6a4-f026-4843-9d05-862e08a30ece,Braxton Key,Braxton,F,SF
