iter	Logloss
0	0.6895102195
1	0.6866418883
2	0.6837344375
3	0.6812250387
4	0.6789256746
5	0.6771029847
6	0.6749507154
7	0.6728479895
8	0.6707240638
9	0.6688853874
10	0.6667923431
11	0.6652703477
12	0.6639741413
13	0.6622240753
14	0.6605283118
15	0.6591156667
16	0.6579690277
17	0.6567868201
18	0.6552625821
19	0.6539360659
20	0.6529131377
21	0.6517486846
22	0.6506917965
23	0.6494088855
24	0.6482464814
25	0.647008753
26	0.6459809583
27	0.6451313866
28	0.6442622063
29	0.6432153043
30	0.6423148858
31	0.6415059289
32	0.6404781656
33	0.6398299259
34	0.6390452949
35	0.638312485
36	0.6373006443
37	0.6365960989
38	0.6358817098
39	0.635089663
40	0.6343560467
41	0.633708685
42	0.6330142702
43	0.6324785856
44	0.63178436
45	0.6309486363
46	0.6301282089
47	0.6294030784
48	0.6287362214
49	0.6281112376
50	0.6275762171
51	0.6268991417
52	0.626338623
53	0.6258315859
54	0.6251811437
55	0.6245099311
56	0.6239892952
57	0.6233971331
58	0.6228456772
59	0.6221654543
60	0.6214661859
61	0.6209168561
62	0.62041875
63	0.6198174946
64	0.6193200267
65	0.6186404935
66	0.6180429809
67	0.6174856667
68	0.6168457425
69	0.6162893916
70	0.6156806209
71	0.6150609403
72	0.6144697093
73	0.6140056784
74	0.6134309292
75	0.6128535937
76	0.6123803509
77	0.6118931336
78	0.6114252734
79	0.6108386041
80	0.6101191104
81	0.6095583032
82	0.6089713545
83	0.6084759273
84	0.6080606368
85	0.6074389839
86	0.606784332
87	0.606277144
88	0.6056630759
89	0.605231492
90	0.6047486176
91	0.6042397183
92	0.6037324024
93	0.6033266758
94	0.602771933
95	0.602369675
96	0.6020753985
97	0.6015969024
98	0.6008541181
99	0.6004228544
100	0.5999378812
101	0.5995583805
102	0.5988809481
103	0.5984357589
104	0.5978766643
105	0.5972262759
106	0.5966887879
107	0.5961765425
108	0.5956913056
109	0.5952975235
110	0.5947327147
111	0.5941343963
112	0.59364878
113	0.5932717727
114	0.5927805548
115	0.5923603182
116	0.5920319078
117	0.5913958366
118	0.5909889185
119	0.5906265126
120	0.5902126375
121	0.5896887755
122	0.5890971486
123	0.5885409502
124	0.5881006142
125	0.5875766936
126	0.5871174001
127	0.5865525842
128	0.5859815025
129	0.5854738621
130	0.5849043643
131	0.5844146307
132	0.5839664261
133	0.5835338919
134	0.5828931307
135	0.5823701707
136	0.5817133588
137	0.5812214636
138	0.580737438
139	0.5803152538
140	0.5798968415
141	0.5793468005
142	0.5790147013
143	0.5786873363
144	0.5780867954
145	0.5774924915
146	0.5769936975
147	0.5764400332
148	0.575966659
149	0.5755452574
150	0.5749979367
151	0.5744599537
152	0.5740560554
153	0.573550492
154	0.5730654822
155	0.5725193907
156	0.5719151528
157	0.571446413
158	0.5707968804
159	0.5702559975
160	0.5698697711
161	0.56928881
162	0.5688199574
163	0.5684137013
164	0.5676773179
165	0.5671038352
166	0.5664913923
167	0.5660868647
168	0.5656649702
169	0.5650845299
170	0.5645270754
171	0.5639727762
172	0.5635099807
173	0.5630305357
174	0.5624808546
175	0.5619685053
176	0.5612146205
177	0.5607497274
178	0.5600967634
179	0.5596517877
180	0.5590963652
181	0.5585397079
182	0.5579625761
183	0.557390627
184	0.5568834872
185	0.5564464053
186	0.5557704732
187	0.5551691155
188	0.5546050579
189	0.5539766898
190	0.553405983
191	0.5527672722
192	0.5523092098
193	0.5516700554
194	0.5511393847
195	0.5505527197
196	0.5500038053
197	0.5495399872
198	0.5489366676
199	0.5483108962
